"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
3.800,3.14942E-4,0.04,-0.21
3.825,0.00137,0.02,-0.68
3.850,0.00173,0.00,-0.83
3.875,0.00123,-0.02,-0.61
3.900,2.01044E-4,-0.04,-0.14
3.925,-8.35900E-4,-0.03,0.39
3.950,-0.00172,-0.01,0.74
3.975,-0.00174,0.01,0.75
4.000,-0.00107,0.03,0.40
4.025,1.47802E-4,0.03,-0.13
4.050,0.00102,0.02,-0.57
4.075,0.00139,5.82E-4,-0.72
4.100,0.00106,-0.02,-0.53
4.125,2.01044E-4,-0.03,-0.10
4.150,-8.45541E-4,-0.03,0.36
4.175,-0.00138,-0.01,0.61
4.200,-0.00122,0.01,0.56
4.225,-7.12112E-4,0.02,0.25
4.250,1.52641E-4,0.03,-0.17
4.275,8.55146E-4,0.01,-0.49
4.300,0.00105,0.00,-0.56
4.325,5.35389E-4,-0.02,-0.34
4.350,-1.52666E-4,-0.02,0.04
4.375,-8.50361E-4,-0.02,0.39
4.400,-0.00121,-4.51E-4,0.54
4.425,-8.79276E-4,0.02,0.41
4.450,-1.91331E-4,0.02,0.06
4.475,5.01460E-4,0.02,-0.32
4.500,0.00104,0.01,-0.54
4.525,8.79417E-4,-0.01,-0.49
4.550,1.91362E-4,-0.02,-0.20
4.575,-4.96693E-4,-0.02,0.19
4.600,-0.00120,-0.01,0.51
4.625,-0.00139,0.01,0.59
4.650,-8.84095E-4,0.02,0.39
4.675,-2.41808E-5,0.03,-0.03
4.700,8.50293E-4,0.02,-0.45
4.725,0.00121,0.00,-0.66
4.750,0.00106,-0.02,-0.56
4.775,2.01044E-4,-0.03,-0.17
4.800,-8.40721E-4,-0.03,0.32
4.825,-0.00155,-0.01,0.66
4.850,-0.00157,0.01,0.69
4.875,-8.88913E-4,0.03,0.39
4.900,1.47802E-4,0.03,-0.09
4.925,0.00102,0.02,-0.54
4.950,0.00156,0.00,-0.75
4.975,0.00123,-0.02,-0.61
5.000,2.01044E-4,-0.03,-0.17
5.025,-8.40721E-4,-0.03,0.33
5.050,-0.00154,-0.01,0.69
5.075,-0.00174,0.01,0.73
5.100,-0.00106,0.03,0.45
5.125,-2.90164E-5,0.04,-0.05
5.150,0.00102,0.03,-0.54
5.175,0.00156,0.00,-0.78
5.200,0.00123,-0.02,-0.65
5.225,3.77909E-4,-0.03,-0.21
5.250,-8.40721E-4,-0.03,0.32
5.275,-0.00154,-0.02,0.69
5.300,-0.00174,0.01,0.73
5.325,-0.00106,0.03,0.43
5.350,-2.41808E-5,0.03,-0.06
5.375,8.45439E-4,0.02,-0.51
5.400,0.00139,0.00,-0.70
5.425,0.00106,-0.02,-0.56
5.450,1.96203E-4,-0.03,-0.17
5.475,-6.68707E-4,-0.03,0.28
5.500,-0.00137,-0.01,0.60
5.525,-0.00157,0.01,0.64
5.550,-8.84095E-4,0.03,0.37
5.575,-2.41808E-5,0.03,-0.08
5.600,8.50293E-4,0.02,-0.49
5.625,0.00121,5.49E-4,-0.65
5.650,8.84272E-4,-0.02,-0.49
5.675,2.41856E-5,-0.03,-0.10
5.700,-8.45541E-4,-0.02,0.34
5.725,-0.00138,-0.01,0.62
5.750,-0.00140,0.01,0.60
5.775,-7.16934E-4,0.03,0.27
5.800,3.24627E-4,0.03,-0.20
5.825,0.00103,0.02,-0.56
5.850,0.00122,-0.01,-0.65
5.875,7.12254E-4,-0.02,-0.42
5.900,-1.47832E-4,-0.03,0.01
5.925,-0.00102,-0.02,0.43
5.950,-0.00156,0.00,0.64
5.975,-0.00122,0.02,0.54
6.000,-5.40129E-4,0.03,0.19
6.025,3.24627E-4,0.03,-0.25
6.050,0.00103,0.01,-0.58
6.075,0.00122,-0.01,-0.63
6.100,5.40237E-4,-0.03,-0.37
6.125,-3.19849E-4,-0.03,0.08
6.150,-0.00119,-0.02,0.49
6.175,-0.00156,-5.47E-4,0.66
6.200,-0.00123,0.02,0.52
6.225,-3.68146E-4,0.03,0.13
6.250,4.96614E-4,0.03,-0.33
6.275,0.00120,0.01,-0.64
6.300,0.00122,-0.01,-0.66
6.325,5.45085E-4,-0.03,-0.35
6.350,-4.91866E-4,-0.03,0.14
6.375,-0.00137,-0.02,0.57
6.400,-0.00173,0.00,0.72
6.425,-0.00123,0.02,0.52
6.450,-3.72975E-4,0.03,0.08
6.475,6.73450E-4,0.03,-0.38
6.500,0.00120,0.01,-0.67
6.525,0.00122,-0.01,-0.65
6.550,5.45085E-4,-0.03,-0.33
6.575,-4.91866E-4,-0.03,0.15
6.600,-0.00137,-0.02,0.57
6.625,-0.00173,0.00,0.72
6.650,-0.00123,0.02,0.51
6.675,-3.72975E-4,0.03,0.06
6.700,6.73450E-4,0.03,-0.41
6.725,0.00121,0.01,-0.67
6.750,0.00105,-0.01,-0.61
6.775,3.73065E-4,-0.03,-0.25
6.800,-6.68707E-4,-0.03,0.22
6.825,-0.00137,-0.02,0.57
6.850,-0.00156,0.01,0.65
6.875,-0.00106,0.02,0.42
6.900,-1.96164E-4,0.03,0.00
6.925,6.73450E-4,0.02,-0.42
6.950,0.00121,0.01,-0.65
6.975,0.00106,-0.02,-0.57
7.000,1.96203E-4,-0.03,-0.21
7.025,-6.68707E-4,-0.03,0.24
7.050,-0.00137,-0.01,0.59
7.075,-0.00156,0.01,0.66
7.100,-0.00106,0.03,0.41
7.125,-2.41808E-5,0.03,-0.04
7.150,8.50293E-4,0.02,-0.48
7.175,0.00121,0.00,-0.68
7.200,0.00106,-0.02,-0.57
7.225,2.01044E-4,-0.03,-0.17
7.250,-8.40721E-4,-0.03,0.31
7.275,-0.00155,-0.01,0.64
7.300,-0.00157,0.01,0.65
7.325,-8.84095E-4,0.03,0.35
7.350,-2.41808E-5,0.03,-0.10
7.375,8.50293E-4,0.02,-0.50
7.400,0.00121,5.49E-4,-0.66
7.425,8.84272E-4,-0.02,-0.52
7.450,2.41856E-5,-0.03,-0.13
7.475,-8.40721E-4,-0.03,0.33
7.500,-0.00155,-0.01,0.64
7.525,-0.00157,0.01,0.65
7.550,-8.88913E-4,0.03,0.33
7.575,1.47802E-4,0.03,-0.16
7.600,0.00103,0.02,-0.57
7.625,0.00121,0.00,-0.69
7.650,8.89127E-4,-0.02,-0.49
7.675,-1.47832E-4,-0.03,-0.05
7.700,-0.00102,-0.03,0.41
7.725,-0.00155,-0.01,0.67
7.750,-0.00157,0.01,0.62
7.775,-7.16934E-4,0.03,0.26
7.800,3.24627E-4,0.03,-0.23
7.825,0.00103,0.02,-0.59
7.850,0.00122,-0.01,-0.67
7.875,7.12254E-4,-0.02,-0.43
7.900,-1.42997E-4,-0.03,0.01
7.925,-0.00119,-0.02,0.45
7.950,-0.00155,0.00,0.68
7.975,-0.00140,0.02,0.58
8.000,-5.40129E-4,0.03,0.20
8.025,3.19785E-4,0.03,-0.27
8.050,0.00120,0.01,-0.62
8.075,0.00122,-0.01,-0.67
8.100,7.17106E-4,-0.03,-0.40
8.125,-3.19849E-4,-0.03,0.06
8.150,-0.00119,-0.02,0.48
8.175,-0.00155,0.00,0.68
8.200,-0.00140,0.02,0.57
8.225,-5.44954E-4,0.03,0.18
8.250,4.96614E-4,0.03,-0.30
8.275,0.00120,0.01,-0.63
8.300,0.00122,-0.01,-0.67
8.325,7.17106E-4,-0.03,-0.38
8.350,-3.19849E-4,-0.03,0.09
8.375,-0.00119,-0.02,0.52
8.400,-0.00156,-5.79E-4,0.69
8.425,-0.00123,0.02,0.53
8.450,-3.72975E-4,0.03,0.11
8.475,6.73450E-4,0.03,-0.36
8.500,0.00120,0.01,-0.65
8.525,0.00122,-0.01,-0.63
8.550,5.45085E-4,-0.03,-0.30
8.575,-4.96693E-4,-0.03,0.17
8.600,-0.00119,-0.02,0.55
8.625,-0.00156,0.00,0.66
8.650,-0.00106,0.02,0.46
8.675,-1.96164E-4,0.03,0.05
8.700,6.73450E-4,0.02,-0.38
8.725,0.00120,0.01,-0.64
8.750,0.00123,-0.01,-0.61
8.775,3.68220E-4,-0.03,-0.27
8.800,-4.91866E-4,-0.03,0.20
8.825,-0.00137,-0.02,0.59
8.850,-0.00156,0.01,0.70
8.875,-0.00106,0.03,0.45
8.900,-2.41808E-5,0.03,-0.02
8.925,8.45439E-4,0.02,-0.47
8.950,0.00139,0.00,-0.68
8.975,0.00105,-0.02,-0.57
9.000,3.73065E-4,-0.03,-0.19
9.025,-6.68707E-4,-0.03,0.28
9.050,-0.00138,-0.01,0.62
9.075,-0.00139,0.01,0.66
9.100,-8.88913E-4,0.03,0.38
9.125,1.47802E-4,0.03,-0.09
9.150,0.00102,0.02,-0.51
9.175,0.00139,5.49E-4,-0.68
9.200,0.00106,-0.02,-0.52
9.225,1.96203E-4,-0.03,-0.13
9.250,-6.68707E-4,-0.03,0.31
9.275,-0.00138,-0.01,0.61
9.300,-0.00139,0.01,0.64
9.325,-8.88913E-4,0.03,0.37
9.350,1.47802E-4,0.03,-0.09
9.375,0.00102,0.02,-0.51
9.400,0.00139,5.82E-4,-0.70
9.425,0.00106,-0.02,-0.55
9.450,2.01044E-4,-0.03,-0.12
9.475,-8.40721E-4,-0.03,0.37
9.500,-0.00155,-0.01,0.68
9.525,-0.00140,0.01,0.64
9.550,-7.16934E-4,0.03,0.30
9.575,3.24627E-4,0.03,-0.18
9.600,0.00102,0.02,-0.56
9.625,0.00139,0.00,-0.69
9.650,8.84272E-4,-0.02,-0.49
9.675,2.90233E-5,-0.03,-0.05
9.700,-0.00102,-0.03,0.41
9.725,-0.00155,-0.01,0.68
9.750,-0.00140,0.01,0.63
9.775,-7.16934E-4,0.03,0.28
9.800,3.19785E-4,0.03,-0.21
9.825,0.00120,0.02,-0.61
9.850,0.00139,-0.01,-0.71
9.875,8.89127E-4,-0.03,-0.46
9.900,-1.47832E-4,-0.03,0.00
9.925,-0.00102,-0.02,0.45
9.950,-0.00155,-0.01,0.68
9.975,-0.00140,0.02,0.59
10.000,-5.40129E-4,0.03,0.22
10.025,3.19785E-4,0.03,-0.25
10.050,0.00120,0.01,-0.59
10.075,0.00122,-0.01,-0.65
10.100,7.12254E-4,-0.02,-0.40
10.125,-1.47832E-4,-0.03,0.03
10.150,-0.00102,-0.02,0.45
10.175,-0.00156,0.00,0.66
10.200,-0.00122,0.02,0.56
10.225,-5.44954E-4,0.03,0.19
10.250,4.96614E-4,0.03,-0.28
10.275,0.00120,0.01,-0.62
10.300,0.00122,-0.01,-0.66
10.325,7.17106E-4,-0.03,-0.38
10.350,-3.19849E-4,-0.03,0.09
10.375,-0.00119,-0.02,0.52
10.400,-0.00156,-5.79E-4,0.69
10.425,-0.00123,0.02,0.53
10.450,-3.72975E-4,0.03,0.11
