"Time (s) Monitor Run","Position (cm) Monitor Run","Velocity (m/s) Monitor Run","Acceleration (m/s²) Monitor Run"
3.925,0.2687569,-0.13,-1.11
3.950,-0.1279872,-0.14,0.46
3.975,-0.4940754,-0.10,1.85
4.000,-0.6894224,-0.03,2.59
4.025,-0.6606650,0.05,2.46
4.050,-0.4232555,0.11,1.53
4.075,-0.0626890,0.13,0.10
4.100,0.3189710,0.11,-1.35
4.125,0.5833267,0.06,-2.33
4.150,0.6231788,-0.02,-2.52
4.175,0.4732798,-0.09,-1.73
4.200,0.1478150,-0.12,-0.19
4.225,-0.2336248,-0.10,1.40
4.250,-0.5212124,-0.03,2.14
4.275,-0.3473416,0.03,1.79
4.300,-0.2484587,0.06,1.00
4.325,0.0147822,0.07,0.35
4.350,0.0767891,0.08,-0.24
4.375,0.3897143,0.07,-1.08
4.400,0.5853067,0.03,-1.91
4.425,0.5558500,-0.04,-2.09
4.450,0.3528340,-0.10,-1.38
4.475,0.0263938,-0.12,0.07
4.500,-0.3210835,-0.10,1.50
4.525,-0.5513556,-0.03,2.20
4.550,-0.5440772,0.04,1.93
4.575,-0.1557635,0.08,1.10
4.600,-0.1472107,0.09,0.28
4.625,0.1814123,0.09,-0.59
4.650,0.4432713,0.07,-1.51
4.675,0.5695903,0.01,-2.09
4.700,0.4885132,-0.06,-1.90
4.725,0.2319001,-0.10,-0.93
4.750,-0.0782933,-0.11,0.46
4.775,-0.3741249,-0.08,1.72
4.800,-0.5523002,-0.01,2.21
4.825,-0.5115839,0.06,1.72
4.850,-0.0525656,0.08,0.73
4.875,-0.0430853,0.09,-0.15
4.900,0.2516563,0.07,-0.91
4.925,0.4624389,0.05,-1.59
4.950,0.5194664,-0.01,-1.90
4.975,0.3852822,-0.07,-1.52
5.000,0.1281769,-0.10,-0.51
5.025,-0.1657631,-0.10,0.65
5.050,-0.4104326,-0.06,1.58
5.075,-0.5183752,-0.01,1.97
5.100,-0.4538486,0.05,1.67
5.125,-0.2317424,0.09,0.83
5.150,0.0443376,0.09,-0.24
5.175,0.2875150,0.07,-1.20
5.200,0.4467167,0.03,-1.77
5.225,0.4511478,-0.03,-1.76
5.250,0.2992564,-0.07,-1.17
5.275,0.0411790,-0.09,-0.18
5.300,-0.2188148,-0.08,0.85
5.325,-0.4118581,-0.04,1.59
5.350,-0.4677272,0.01,1.78
5.375,-0.3678710,0.06,1.36
5.400,-0.1452897,0.08,0.49
5.425,0.1140893,0.08,-0.53
5.450,0.3238676,0.05,-1.33
5.475,0.4137915,0.01,-1.67
5.500,0.3656231,-0.04,-1.45
5.525,0.1955380,-0.07,-0.76
5.550,-0.0458120,-0.08,0.17
5.575,-0.2723381,-0.06,1.02
5.600,-0.3960833,-0.02,1.51
5.625,-0.3994107,0.02,1.49
5.650,-0.2818933,0.06,0.99
5.675,-0.0578694,0.08,0.16
5.700,0.1494535,0.07,-0.70
5.725,0.3253370,0.04,-1.31
5.750,0.3631696,-0.01,-1.45
5.775,0.2796059,-0.05,-1.11
5.800,0.1085427,-0.07,-0.43
5.825,-0.0988698,-0.07,0.37
5.850,-0.2732940,-0.05,1.04
5.875,-0.3626355,-0.01,1.37
5.900,-0.3310970,0.03,1.22
5.925,-0.1954364,0.06,0.66
5.950,0.0118810,0.07,-0.10
5.975,0.1857944,0.05,-0.80
6.000,0.2914275,0.02,-1.22
6.025,0.3120541,-0.02,-1.23
6.050,0.2107921,-0.05,-0.84
6.075,0.0392419,-0.06,-0.16
6.100,-0.1519213,-0.06,0.55
6.125,-0.2747277,-0.03,1.04
6.150,-0.3115146,0.00,1.18
6.175,-0.2623080,0.03,0.95
6.200,-0.1261722,0.06,0.39
6.225,0.0644397,0.06,-0.30
6.250,0.2039670,0.04,-0.86
6.275,0.2756944,0.01,-1.11
6.300,0.2432458,-0.02,-0.98
6.325,0.1414921,-0.05,-0.54
6.350,-0.0133358,-0.05,0.06
6.375,-0.1700837,-0.04,0.63
6.400,-0.2584833,-0.02,0.97
6.425,-0.2603958,0.01,0.98
6.450,-0.1935190,0.04,0.67
6.475,-0.0559410,0.05,0.15
6.500,0.0821219,0.05,-0.42
6.525,0.2054292,0.02,-0.84
6.550,0.2245801,0.00,-0.94
6.575,0.1744376,-0.03,-0.72
