"Time (s) Monitor Run","Position (cm) Monitor Run","Velocity (m/s) Monitor Run","Acceleration (m/s²) Monitor Run"
0.000,-0.0107113,,
0.025,-0.3109912,-0.06,
0.050,-0.3192236,0.02,2.07
0.075,-0.0013912,0.04,0.41
0.100,-0.0013912,0.02,-0.42
0.125,-0.0013912,0.00,-0.42
0.150,-0.0013912,0.00,-0.14
0.175,-0.0013912,0.00,-0.13
0.200,-0.0013912,5.57E-4,-0.41
0.225,-0.0013912,-0.02,-0.55
0.250,0.0069586,-0.04,-0.14
0.275,-0.3109912,-0.04,0.68
0.300,-0.3114487,7.13E-5,1.10
0.325,-0.3015723,0.04,0.69
0.350,-0.0013912,0.04,-0.13
0.375,-0.0018549,0.02,-0.54
0.400,0.0162728,0.00,-0.40
0.425,-0.0018549,0.00,-0.14
0.450,0.0158088,0.00,-0.15
0.475,0.0158088,5.57E-4,-0.42
0.500,0.0162728,-0.02,-0.58
0.525,0.0060305,-0.04,-0.19
0.550,-0.2756748,-0.04,0.63
0.575,-0.3109912,0.00,1.09
0.600,-0.3187664,0.04,0.75
0.625,-0.0190546,0.04,-0.04
0.650,-0.0013912,0.02,-0.49
0.675,-0.0018549,0.00,-0.42
0.700,0.0158088,0.00,-0.19
0.725,0.0158088,6.19E-5,-0.19
0.750,0.0162728,0.00,-0.43
0.775,-0.0013912,-0.02,-0.54
0.800,0.0064946,-0.04,-0.27
0.825,-0.2933333,-0.04,0.41
0.850,-0.3109912,-0.02,0.96
0.875,-0.3114487,0.02,0.97
0.900,-0.3015723,0.04,0.42
0.925,-0.0013912,0.04,-0.28
0.950,-0.0013912,0.02,-0.55
0.975,-0.0013912,0.00,-0.40
1.000,-0.0013912,0.00,-0.26
1.025,-0.0013912,5.26E-4,-0.39
1.050,-0.0013912,-0.02,-0.55
1.075,0.0064946,-0.04,-0.31
1.100,-0.2933333,-0.04,0.37
1.125,-0.3109912,-0.02,0.95
1.150,-0.3109912,0.02,0.99
1.175,-0.3192236,0.04,0.45
1.200,-0.0013912,0.04,-0.26
1.225,-0.0013912,0.02,-0.55
1.250,-0.0013912,0.00,-0.42
1.275,-0.0013912,0.00,-0.14
1.300,-0.0013912,0.00,-0.12
1.325,-0.0013912,5.26E-4,-0.39
1.350,-0.0013912,-0.02,-0.55
1.375,0.0064946,-0.04,-0.17
1.400,-0.2933333,-0.04,0.65
1.425,-0.3109912,0.00,1.10
1.450,-0.3192236,0.04,0.72
1.475,-0.0013912,0.04,-0.11
1.500,-0.0013912,0.02,-0.54
1.525,-0.0013912,-3.09E-5,-0.40
1.550,-0.0013912,0.00,-0.13
1.575,-0.0018549,0.00,-0.14
1.600,0.0162728,5.57E-4,-0.42
1.625,-0.0013912,-0.02,-0.57
1.650,0.0064946,-0.04,-0.17
1.675,-0.2933333,-0.04,0.66
1.700,-0.3109912,0.00,1.10
1.725,-0.3192236,0.04,0.72
1.750,-0.0013912,0.04,-0.11
1.775,-0.0013912,0.02,-0.54
1.800,-0.0013912,-3.09E-5,-0.40
1.825,-0.0013912,0.00,-0.13
1.850,-0.0018549,0.00,-0.12
1.875,0.0162728,4.64E-4,-0.38
1.900,-0.0013912,-0.02,-0.54
1.925,0.0051026,-0.04,-0.32
1.950,-0.2403555,-0.04,0.34
1.975,-0.3109912,-0.02,0.94
2.000,-0.3123637,0.02,0.99
2.025,-0.2662674,0.04,0.43
2.050,-0.0018549,0.04,-0.27
2.075,0.0158088,0.02,-0.55
2.100,0.0158088,0.00,-0.40
2.125,0.0158088,0.00,-0.15
2.150,0.0158088,3.09E-5,-0.05
2.175,0.0158088,0.00,-0.19
2.200,0.0162728,-0.01,-0.27
2.225,0.0000000,-0.02,-0.06
2.250,-0.0474377,-0.02,0.34
2.275,-0.2662674,0.00,0.51
2.300,-0.0013912,0.02,0.16
2.325,-9.2749820E-4,0.01,-0.26
2.350,-0.0181278,-0.01,-0.34
2.375,-0.0348651,-0.01,-0.14
2.400,-0.0697289,-0.01,0.08
2.425,-0.0873912,0.00,0.17
2.450,-0.0873912,9.93E-4,0.08
2.475,-0.0883152,0.01,-0.22
2.500,-0.0539165,-0.01,-0.47
2.525,-0.0111750,-0.03,-0.19
2.550,-0.2942491,-0.03,0.53
2.575,-0.2765912,0.00,0.89
2.600,-0.2843781,0.04,0.44
2.625,0.0162728,0.03,-0.46
2.650,4.6377693E-4,0.00,-0.98
2.675,-0.0678793,-0.03,-0.92
2.700,-0.1525057,-0.04,-0.68
2.725,-0.2896697,-0.06,-0.49
2.750,-0.4431327,-0.07,-0.34
2.775,-0.6495822,-0.08,-0.08
2.800,-0.8564785,-0.08,0.20
2.825,-1.0470488,-0.06,0.30
2.850,-1.1855510,-0.06,0.18
2.875,-1.2874493,-0.05,-0.03
2.900,-1.4422772,-0.06,-0.12
2.925,-1.5966732,-0.06,-0.03
2.950,-1.7691360,-0.06,0.14
2.975,-1.9248145,-0.06,0.22
3.000,-2.0456543,-0.05,0.14
3.025,-2.1484458,-0.05,-0.09
3.050,-2.2688627,-0.05,-0.37
3.075,-2.3876154,-0.07,-0.52
3.100,-2.5752077,-0.08,-0.36
3.125,-2.8336923,-0.09,0.05
3.150,-3.0761691,-0.08,0.45
3.175,-3.2494000,-0.06,0.56
3.200,-3.3706096,-0.05,0.36
3.225,-3.4562235,-0.04,0.00
3.250,-3.5586507,-0.05,-0.26
