Time (s) Monitor Run,Position (cm) Monitor Run,Velocity (m/s) Monitor Run,Acceleration (m/s²) Monitor Run
5.2,-0.006660828,-0.08,3.13
5.225,-0.008549665,0.03,3.26
5.25,-0.004060922,0.11,2.01
5.275,-0.00022046,0.13,0.46
5.3,0.001430904,0.12,-0.79
5.325,0.005616447,0.09,-1.87
5.35,0.007755017,0.03,-2.7
5.375,0.00731394,-0.06,-2.74
5.4,0.004256324,-0.13,-1.66
5.425,-0.000222851,-0.16,0.27
5.45,-0.004572616,-0.13,2.29
5.475,-0.007219294,-0.03,3.36
5.5,-0.007555776,0.08,2.82
5.525,-0.001663611,0.14,1.06
5.55,0.002550592,0.13,-0.64
5.575,0.003528344,0.08,-1.65
5.6,0.006521058,0.04,-2.23
5.625,0.007106918,-0.02,-2.44
5.65,0.005269027,-0.1,-1.94
5.675,0.001493126,-0.14,-0.57
5.7,-0.002660854,-0.13,1.12
5.725,-0.005996348,-0.08,2.39
5.75,-0.006917696,0,2.79
5.775,-0.005594032,0.08,2.21
5.8,-0.002351281,0.13,0.86
5.825,0.001799159,0.13,-0.77
5.85,0.005120378,0.09,-2.1
5.875,0.006560908,0.01,-2.68
5.9,0.005760415,-0.07,-2.3
5.925,0.002864877,-0.12,-1.12
5.95,-0.001112265,-0.13,0.44
5.975,-0.004419618,-0.09,1.83
6,-0.006378169,-0.03,2.55
6.025,-0.00591898,0.05,2.35
6.05,-0.003368444,0.11,1.33
6.075,0.000246893,0.13,-0.15
6.1,0.003724901,0.1,-1.55
6.125,0.005848,0.04,-2.38
6.15,0.005912592,-0.04,-2.35
6.175,0.003705566,-0.1,-1.48
6.2,0.000441184,-0.12,-0.11
6.225,-0.003033734,-0.1,1.27
6.25,-0.005322512,-0.05,2.18
6.275,-0.005723359,0.02,2.3
6.3,-0.004041852,0.08,1.62
6.325,-0.000951796,0.11,0.38
6.35,0.002334544,0.1,-0.98
6.375,0.004968201,0.06,-1.99
6.4,0.005715718,-0.01,-2.26
6.425,0.004379008,-0.07,-1.73
6.45,0.001640781,-0.11,-0.62
6.475,-0.001652557,-0.1,0.67
6.5,-0.004089851,-0.07,1.72
6.525,-0.005527699,-0.01,2.19
6.55,-0.004715341,0.06,1.87
6.575,-0.002150533,0.1,0.88
6.6,0.000954088,0.11,-0.41
6.625,0.003744598,0.07,-1.53
6.65,0.005169908,0.02,-2.1
6.675,0.004880324,-0.04,-1.8
6.7,0.002663362,-0.09,-0.68
6.725,-0.000261632,-0.08,0.56
6.75,-0.003306274,-0.04,1.18
6.775,-0.001892,-0.01,1.17
6.8,-0.001858307,0.01,1.13
6.825,-0.003172591,0.04,1.09
6.85,-0.000426312,0.08,0.5
6.875,0.00252609,0.08,-0.65
6.9,0.00446706,0.04,-1.67
6.925,0.004683553,-0.02,-1.89
6.95,0.00333684,-0.07,-1.33
6.975,0.000937907,-0.09,-0.29
7,-0.001834235,-0.09,0.85
7.025,-0.003936913,-0.04,1.63
7.05,-0.004701077,0.01,1.76
7.075,-0.002613587,0.06,1.26
7.1,-0.001448322,0.08,0.45
7.125,0.001140648,0.08,-0.49
7.15,0.003415406,0.06,-1.3
7.175,0.004319747,0.01,-1.7
7.2,0.003666161,-0.04,-1.47
7.225,0.001788406,-0.08,-0.7
7.25,-0.000625107,-0.08,0.44
7.275,-0.002890452,-0.06,1.49
7.3,-0.004142303,0.01,1.82
7.325,-0.003740941,0.06,1.22
7.35,0.001041742,0.07,0.2
7.375,0.00064423,0.06,-0.47
7.4,0.002196845,0.04,-0.84
7.425,0.003612,0.02,-1.14
7.45,0.003646463,-0.02,-1.26
7.475,0.002466797,-0.06,-0.94
7.5,0.000402301,-0.07,-0.15
7.525,-0.001676648,-0.07,0.72
7.55,-0.00325843,-0.03,1.33
7.575,-0.003640666,0.01,1.46
7.6,-0.002632775,0.05,1.05
7.625,-0.000746026,0.07,0.28
7.65,0.001332107,0.06,-0.56
7.675,0.002909274,0.04,-1.17
7.7,0.003459678,0,-1.37
7.725,0.002796157,-0.04,-1.09
7.75,0.001262508,-0.06,-0.44
7.775,-0.000816493,-0.06,0.36
7.8,-0.00238879,-0.04,0.99
7.825,-0.003105577,-0.01,1.27
7.85,-0.002790357,0.03,1.1
7.875,-0.001424219,0.05,0.56
7.9,0.000295437,0.06,-0.16
