Time (s) Monitor Run,0,Velocity (m/s) Monitor Run,Acceleration (m/s²) Monitor Run
5.05,0.004923441,0.15,-0.32
5.075,0.007239037,0.11,-2.04
5.1,0.006798064,0.03,-3
5.125,0.003735558,-0.06,-2.8
5.15,-0.00057631,-0.13,-1.53
5.175,-0.004581912,-0.15,0.27
5.2,-0.00688946,-0.11,1.95
5.225,-0.006611766,-0.04,2.89
5.25,-0.003903738,0.05,2.75
5.275,0.000403859,0.12,1.59
5.3,0.004407575,0.14,-0.17
5.325,0.006713002,0.11,-1.85
5.35,0.006615999,0.04,-2.81
5.375,0.003897748,-0.05,-2.72
5.4,-0.000060073,-0.12,-1.62
5.425,-0.004060991,-0.14,0.07
5.45,-0.006540737,-0.11,1.72
5.475,-0.006430346,-0.04,2.71
5.5,-0.004066084,0.04,2.67
5.525,-0.00010704,0.11,1.64
5.55,0.003714813,0.14,0.02
5.575,0.006192,0.11,-1.57
5.6,0.006251912,0.05,-2.56
5.625,0.004236951,-0.03,-2.61
5.65,0.000451286,-0.1,-1.56
5.675,-0.003372798,-0.13,0.24
5.7,-0.005923986,-0.09,1.81
5.725,-0.003148851,-0.01,2.29
5.75,-0.001213687,0.05,1.73
5.775,-0.000966662,0.07,0.92
5.8,0.002850131,0.08,0.17
5.825,0.005494045,0.09,-0.8
5.85,0.005892869,0.06,-1.86
5.875,0.004394154,-0.02,-2.34
5.9,0.001134696,-0.09,-1.78
5.925,-0.002507738,-0.12,-0.44
5.95,-0.005140941,-0.11,1.06
5.975,-0.005890748,-0.06,2.15
6,-0.004386038,0.01,2.43
6.025,-0.001300832,0.08,1.79
6.05,0.002162337,0.11,0.49
6.075,0.004796146,0.11,-0.96
6.1,0.005543828,0.06,-2.03
6.125,0.004212181,-0.01,-2.33
6.15,0.001296977,-0.07,-1.75
6.175,-0.001991583,-0.11,-0.51
6.2,-0.0046249,-0.1,1.05
6.225,-0.0053796,-0.06,2.24
6.25,-0.003760564,0.03,2.38
6.275,0.001700394,0.09,1.36
6.3,0.002358852,0.1,-0.11
6.325,0.004103252,0.07,-1.14
6.35,0.005017808,0.03,-1.64
6.375,0.004030223,-0.01,-1.77
6.4,0.001459245,-0.06,-1.46
6.425,-0.001480268,-0.1,-0.58
6.45,-0.003932055,-0.1,0.65
6.475,-0.004839854,-0.06,1.64
6.5,-0.00402302,0,2.02
6.525,-0.001630195,0.06,1.65
6.55,0.001307488,0.09,0.65
6.575,0.003759286,0.09,-0.58
6.6,0.004668805,0.06,-1.58
6.625,0.003848279,0,-1.95
6.65,0.001626402,-0.05,-1.58
6.675,-0.001141018,-0.09,-0.62
