"Time (s) Monitor Run","Position (cm) Monitor Run","Velocity (m/s) Monitor Run","Acceleration (m/s²) Monitor Run"
0.000,0.3268000,,
0.025,0.3351655,-0.06,
0.050,0.0358583,-0.05,0.62
0.075,-0.0172000,-0.03,0.67
0.100,-0.0172000,0.00,0.49
0.125,-0.0172000,0.00,0.20
0.150,-0.0172000,3.23E-5,6.48E-4
0.175,-0.0172000,0.00,-0.02
0.200,-0.0167150,0.00,0.01
0.225,-0.0344000,0.00,0.05
0.250,-0.0348847,0.00,0.05
0.275,-0.0172000,0.00,0.01
0.300,-0.0172000,0.00,-0.02
0.325,-0.0172000,0.00,-0.02
0.350,-0.0172000,0.00,-0.01
0.375,-0.0172000,0.00,2.16E-4
0.400,-0.0172000,0.00,-0.01
0.425,-0.0172000,3.23E-5,-0.02
0.450,-0.0172000,0.00,-0.02
0.475,-0.0167150,0.00,0.01
0.500,-0.0344000,0.00,0.05
0.525,-0.0348847,0.00,0.05
0.550,-0.0172000,0.00,0.01
0.575,-0.0172000,0.00,-0.02
0.600,-0.0172000,0.00,-0.02
0.625,-0.0172000,0.00,-0.01
0.650,-0.0172000,0.00,0.00
0.675,-0.0172000,0.00,0.00
0.700,-0.0172000,0.00,0.00
0.725,-0.0172000,0.00,0.00
0.750,-0.0172000,0.00,0.00
0.775,-0.0172000,0.00,0.00
0.800,-0.0172000,0.00,0.00
0.825,-0.0172000,0.00,0.00
0.850,-0.0172000,0.00,0.00
0.875,-0.0172000,0.00,0.01
0.900,-0.0172000,0.00,0.02
0.925,-0.0172000,0.00,0.03
0.950,-0.0172000,0.00,0.02
0.975,0.0000000,0.00,-0.02
1.000,0.0000000,0.00,-0.03
1.025,0.0000000,0.00,-0.02
1.050,0.0000000,0.00,-0.01
1.075,0.0000000,0.00,0.00
1.100,0.0000000,0.00,0.00
1.125,0.0000000,0.00,0.00
1.150,0.0000000,0.00,0.00
1.175,0.0000000,0.00,0.00
1.200,0.0000000,0.00,0.00
1.225,0.0000000,0.00,0.00
1.250,0.0000000,0.00,0.00
1.275,0.0000000,0.00,0.00
1.300,0.0000000,0.00,0.00
1.325,0.0000000,0.00,0.00
1.350,0.0000000,0.00,0.00
1.375,0.0000000,0.00,0.00
