Time (s) Run #1,Position (m) Run #1
0,1.77E-04
0.025,0
0.05,0
0.075,0
0.1,0
0.125,0
0.15,0
0.175,0
0.2,0
0.225,0
0.25,0
0.275,0
0.3,0
0.325,0
0.35,0
0.375,0
0.4,0
0.425,0
0.45,0
0.475,0
0.5,0
0.525,0
0.55,0
0.575,0
0.6,0
0.625,0
0.65,0
0.675,0
0.7,0
0.725,0
0.75,0
0.775,0
0.8,0
0.825,0
0.85,0
0.875,0
0.9,0
0.925,0
0.95,0
0.975,0
1,0
1.025,0
1.05,0
1.075,0
1.1,0
1.125,0
1.15,0
1.175,0
1.2,0
1.225,0
1.25,0
1.275,0
1.3,0
1.325,0
1.35,0
1.375,0
1.4,0
1.425,0
1.45,0
1.475,0
1.5,0
1.525,0
1.55,0
1.575,0
1.6,1.41E-05
1.625,-4.13E-04
1.65,-0.00413
1.675,-0.01053
1.7,-0.01579
1.725,-0.0171
1.75,-0.01443
1.775,-0.00847
1.8,-5.51E-04
1.825,0.00705
1.85,0.01317
1.875,0.01569
1.9,0.01441
1.925,0.01001
1.95,0.00296
1.975,-0.00465
2,-0.01108
2.025,-0.01496
2.05,-0.01505
2.075,-0.01168
2.1,-0.00571
2.125,0.00188
2.15,0.00864
2.175,0.01338
2.2,0.01486
2.225,0.01271
2.25,0.00742
2.275,5.33E-04
2.3,-0.00639
2.325,-0.01197
2.35,-0.01465
2.375,-0.01369
2.4,-0.00963
2.425,-0.00328
2.45,0.00362
2.475,0.00953
2.5,0.01306
2.525,0.0135
2.55,0.01064
2.575,0.00534
2.6,-0.00121
2.625,-0.00745
2.65,-0.012
2.675,-0.01346
2.7,-0.01182
2.725,-0.00721
2.75,-0.0012
2.775,0.00502
2.8,0.01008
2.825,0.01258
2.85,0.01196
2.875,0.00875
2.9,0.00344
2.925,-0.00278
2.95,-0.00817
2.975,-0.01152
3,-0.01193
3.025,-0.00974
3.05,-0.00548
3.075,1.98E-04
3.1,0.00556
3.125,0.00975
3.15,0.01155
3.175,0.01076
3.2,0.00755
3.225,0.00222
3.25,-0.00332
3.275,-0.00784
3.3,-0.01049
3.325,-0.01056
3.35,-0.0082
3.375,-0.00392
3.4,0.00108
3.425,0.00575
3.45,0.00925
3.475,0.01067
3.5,0.01041
3.525,0.00722
3.55,0.00134
3.575,-0.00351
3.6,-0.00717
3.625,-0.00913
3.65,-0.00884
3.675,-0.00647
3.7,-0.00252
3.725,0.00178
3.75,0.00594
3.775,0.00872
3.8,0.01053
3.825,0.00941
3.85,0.00527
3.875,0.00132
3.9,-0.00284
3.925,-0.00615
3.95,-0.00792
3.975,-0.00762
4,-0.0056
4.025,-0.00217
4.05,0.00163
4.075,0.00509
4.1,0.00754
4.125,0.00865
4.15,0.00679
4.175,0.00388
4.2,2.66E-04
4.225,-0.0032
4.25,-0.00565
4.275,-0.00673
4.3,-0.00607
4.325,-0.00421
4.35,-0.00112
4.375,0.00216
4.4,0.00511
4.425,0.00688
4.45,0.00676
4.475,0.00507
4.5,0.00232
4.525,-6.13E-04
4.55,-0.00339
4.575,-0.00532
4.6,-0.00587
4.625,-0.00504
4.65,-0.003
4.675,-2.52E-04
4.7,0.00269
4.725,0.00496
4.75,0.00587
4.775,0.0052
4.8,0.00368
4.825,0.00128
4.85,-0.00132
4.875,-0.00358
4.9,-0.00481
4.925,-0.00502
4.95,-0.00401
4.975,-0.00196
5,4.50E-04
5.025,0.00288
5.05,0.00446
5.075,0.00501
5.1,0.00435
5.125,0.00264
5.15,5.82E-04
5.175,-0.00185
5.2,-0.00359
5.225,-0.00448
5.25,-0.00433
5.275,-0.00315
5.3,-0.00126
5.325,9.80E-04
5.35,0.00289
5.375,0.00413
5.4,0.00415
5.425,0.00331
5.45,0.00178
5.475,-2.92E-04
5.5,-0.0022
5.525,-0.0036
5.55,-0.00397
5.575,-0.00348
5.6,-0.00212
5.625,-2.24E-04
5.65,0.00168
5.675,0.00308
5.7,0.00379
5.725,0.00364
5.75,0.00263
5.775,9.07E-04
5.8,-8.13E-04
5.825,-0.00255
5.85,-0.00361
5.875,-0.00364
5.9,-0.00279
5.925,-0.00143
5.95,4.74E-04
5.975,0.00203
6,0.00326
6.025,0.00363
6.05,0.00313
6.075,0.00194
6.1,2.14E-04
6.125,-0.00134
6.15,-0.00274
6.175,-0.00327
6.2,-0.00312
6.225,-0.00228
6.25,-7.30E-04
6.275,8.22E-04
6.3,0.00221
6.325,0.0031
6.35,0.00312
6.375,0.00244
6.4,0.00124
6.425,-1.34E-04
6.45,-0.00152
6.475,-0.00258
6.5,-0.00276
6.525,-0.00243
6.55,-0.00159
6.575,-2.10E-04
6.6,0.00118
6.625,0.00205
6.65,0.00258
6.675,0.00243
6.7,0.00175
6.725,7.21E-04
6.75,-4.88E-04
6.775,-0.00153
6.8,-0.00224
6.825,-0.00225
6.85,-0.00174
6.875,-8.88E-04
6.9,1.44E-04
6.925,0.00119
6.95,0.00189
6.975,0.00207
7,0.00191
7.025,0.00123
7.05,1.96E-04
7.075,-6.69E-04
7.1,-0.00137
7.125,-0.00172
7.15,-0.00156
7.175,-0.00123
7.2,-3.63E-04
7.225,3.25E-04
7.25,0.00102
7.275,0.00155
7.3,0.00156
7.325,0.00122
7.35,7.07E-04
7.375,1.41E-05
7.4,-5.02E-04
7.425,-0.00103
7.45,-0.00121
7.475,-0.00104
7.5,-7.02E-04
7.525,-1.91E-04
7.55,5.07E-04
7.575,8.55E-04
7.6,0.00103
7.625,0.00104
7.65,8.74E-04
7.675,3.53E-04
7.7,1.41E-05
7.725,-5.11E-04
7.75,-6.88E-04
7.775,-6.88E-04
7.8,-6.97E-04
7.825,-3.53E-04
7.85,-9.43E-06
7.875,3.35E-04
7.9,6.88E-04
7.925,6.88E-04
7.95,6.93E-04
7.975,5.25E-04
8,1.77E-04
8.025,9.43E-06
8.05,-3.44E-04
8.075,-3.39E-04
8.1,-5.21E-04
8.125,-3.49E-04
8.15,-1.77E-04
8.175,-4.71E-06
8.2,1.67E-04
8.225,3.44E-04
8.25,3.44E-04
8.275,3.44E-04
8.3,3.49E-04
8.325,1.77E-04
8.35,4.71E-06
8.375,-1.72E-04
8.4,-1.72E-04
8.425,-1.72E-04
8.45,-1.77E-04
8.475,0
8.5,0
8.525,-4.71E-06
8.55,1.72E-04
8.575,1.72E-04
8.6,1.77E-04
8.625,0
8.65,0
8.675,0
8.7,0
8.725,0
8.75,0
8.775,0
8.8,0
8.825,0
8.85,0
8.875,0
8.9,0
8.925,0
8.95,0
8.975,0
9,0
9.025,0
9.05,0
9.075,0
9.1,0
9.125,0
9.15,0
9.175,0
9.2,0
9.225,0
9.25,0
9.275,0
9.3,0
9.325,0
9.35,0
9.375,0
9.4,0
9.425,0
9.45,0
9.475,0
9.5,0
9.525,0
9.55,0
9.575,0
9.6,0
9.625,0
9.65,0
9.675,0
9.7,0
9.725,0
9.75,0
9.775,0
9.8,0
9.825,0
9.85,0
9.875,0
9.9,0
9.925,0
9.95,0
9.975,0
10,0
10.025,0
