"Time (s) Monitor Run","Position (cm) Monitor Run","Velocity (m/s) Monitor Run","Acceleration (m/s²) Monitor Run"
0.000,-0.3435184,,
0.025,-0.3612000,0.00,
0.050,-0.3607187,0.00,0.04
0.075,-0.3784000,0.00,0.07
0.100,-0.3788809,0.00,0.05
0.125,-0.3612000,0.00,0.01
0.150,-0.3612000,0.00,-0.02
0.175,-0.3612000,0.00,-0.02
0.200,-0.3612000,0.00,-0.01
0.225,-0.3612000,0.00,-0.01
0.250,-0.3612000,3.21E-5,-0.02
0.275,-0.3612000,0.00,-0.03
0.300,-0.3607187,0.00,-0.02
0.325,-0.3784000,0.00,0.02
0.350,-0.3784000,0.00,0.05
0.375,-0.3784000,0.00,0.05
0.400,-0.3788809,0.00,0.02
0.425,-0.3612000,0.00,0.15
0.450,-0.3612000,0.00,0.45
0.475,-0.3612000,0.02,0.62
0.500,-0.3612000,0.05,0.31
0.525,0.0000000,0.05,-0.33
0.550,0.0000000,0.02,-0.66
0.575,0.0000000,0.00,-0.48
0.600,4.8126563E-4,0.00,-0.12
0.625,-0.0172000,0.00,0.06
0.650,-4.8090238E-4,0.00,0.01
0.675,0.0172000,0.00,-0.10
0.700,0.0172000,0.00,-0.16
0.725,0.0181626,-0.01,-0.07
0.750,-0.0348820,-0.01,0.10
0.775,-0.0530428,0.00,0.19
0.800,-0.0363236,0.01,0.12
0.825,-9.6255050E-4,0.01,-0.02
0.850,-9.6255050E-4,0.00,-0.08
0.875,-9.6255050E-4,0.00,-0.04
0.900,-4.8128488E-4,6.42E-5,0.03
0.925,-0.0186435,0.00,0.04
0.950,0.0176809,0.00,-0.02
0.975,0.0176809,0.00,-0.06
1.000,0.0181622,0.00,-0.04
1.025,4.8090238E-4,0.00,0.01
1.050,0.0000000,-6.41E-5,0.02
1.075,0.0176809,-3.21E-5,-0.01
1.100,0.0000000,0.00,-0.03
1.125,0.0000000,0.00,-0.02
1.150,4.8126563E-4,0.00,0.01
1.175,-0.0172000,0.00,0.05
1.200,-0.0172000,-6.41E-5,0.05
1.225,-0.0176809,0.00,0.02
1.250,0.0000000,0.00,-0.03
1.275,4.8126563E-4,0.00,-0.02
1.300,-0.0167191,0.00,0.04
1.325,-0.0181615,0.00,0.07
1.350,-9.6182400E-4,0.00,0.02
1.375,0.0167191,0.00,-0.06
1.400,0.0167191,6.41E-5,-0.08
1.425,0.0172003,0.00,-0.04
1.450,-4.8092162E-4,0.00,0.03
1.475,-4.8092162E-4,-6.41E-5,0.06
1.500,-9.6182400E-4,0.00,0.03
1.525,0.0167191,0.00,-0.03
1.550,0.0167191,6.41E-5,-0.05
1.575,0.0172003,0.00,-0.02
1.600,-4.8092162E-4,0.00,0.04
1.625,-9.6182400E-4,0.00,0.04
1.650,0.0167191,0.00,-0.01
1.675,0.0167191,6.41E-5,-0.05
1.700,0.0172003,0.00,-0.03
1.725,-4.8092162E-4,0.00,0.03
1.750,-4.8092162E-4,-6.41E-5,0.06
1.775,-9.6182400E-4,0.00,0.04
1.800,0.0167191,0.00,-0.01
1.825,0.0167191,0.00,-0.03
1.850,0.0167191,0.00,-0.02
1.875,0.0167191,0.00,-0.01
1.900,0.0167191,0.00,-0.01
1.925,0.0167191,3.21E-5,-0.02
1.950,0.0167191,0.00,-0.03
1.975,0.0172003,0.00,-0.01
2.000,-4.8092162E-4,0.00,0.04
2.025,-4.8092162E-4,-6.41E-5,0.06
2.050,-9.6182400E-4,0.00,0.04
2.075,0.0167191,0.00,-0.01
2.100,0.0167191,0.00,-0.03
2.125,0.0167191,0.00,-0.02
2.150,0.0167191,0.00,-0.01
2.175,0.0167191,0.00,-0.01
2.200,0.0167191,3.21E-5,-0.02
2.225,0.0167191,0.00,-0.03
2.250,0.0172003,0.00,-0.02
2.275,-4.8092162E-4,0.00,0.02
